"","date","outbrk_days","case","case_incrs","death","test","test_pos","hos","residential","grocery","park","retail","transit","workplace","punemp","ppov","pincome","pnoveh","puninsur","page65","black_deaths","white_deaths"
"64",2020-03-25,65,77011,12856,1028,466614,16.5042197619446,5052,17.068513828224,-10.6386396476734,8.6740938260754,-36.6548129981421,-28.5806992284517,-38.0272319587387,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,11.5330807080709,0
"65",2020-03-26,66,94646,17635,1339,568318,16.6537044401198,7746,17.4615989269321,-10.5359496720156,24.5250231005134,-36.8547217758344,-29.8444252190634,-38.8941717470418,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,12.1021890189019,0
"66",2020-03-27,67,113667,19021,1739,670773,16.9456731263781,10919,18.9555796887081,-12.2007062855011,13.9840044740235,-39.2183458252133,-33.6961995767062,-38.3031407858626,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,12.671297329733,0
"67",2020-03-28,68,133361,19694,2258,777342,17.1560265623111,12335,13.3461551773122,-15.3682920185863,-3.09656113406809,-44.1605317961646,-36.1569698475185,-29.3223785810332,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,13.2404056405641,0
"68",2020-03-29,69,152987,19626,2772,864771,17.6910419058919,14011,11.2992146081991,-18.2947645558436,5.40673623386372,-41.8205607306799,-38.4098575364136,-33.3553802346911,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,13.8095139513952,0
"69",2020-03-30,70,174828,21841,3348,983065,17.7839715583405,15753,16.5703548418618,-13.9218474124399,4.48136632403846,-36.5122703939188,-33.4515258065265,-38.8460789975485,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,14.3786222622263,0
"70",2020-03-31,71,199446,24618,4206,1095033,18.2136976693853,18063,18.0093087704631,-12.9366993263156,3.50147328736734,-37.0339213879662,-31.3566422516718,-41.1257501397624,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,14.9477305730574,0
"71",2020-04-01,72,225160,25714,5190,1203246,18.7127154380733,20756,17.6550663116706,-6.51429602636009,11.1108166097571,-33.4963218623388,-30.6298037951532,-41.4674281983139,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,15.5168388838884,0
"72",2020-04-02,73,253112,27952,6337,1321790,19.1491840610082,22745,19.0785372858746,-9.55889426800408,2.80681669502709,-38.4999621181417,-34.3308796466033,-42.3017847762487,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,16.0859471947195,0
"73",2020-04-03,74,284988,31876,7592,1454144,19.5983341402227,25453,20.560638653888,-7.69173819332205,-9.32622342741531,-39.7167666879566,-37.499955434616,-41.65046679714,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,16.6550555055506,0
"74",2020-04-04,75,318155,33167,9029,1682653,18.9079388323083,29967,13.900135003076,-10.4645465327872,-1.29065334811057,-45.1076701518068,-38.0215633017261,-32.0584695157089,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,17.2241638163817,0
"75",2020-04-05,76,343661,25506,10311,1801753,19.0737021112217,31854,11.4006326537571,-14.3119697085261,15.355523800798,-43.307440257712,-41.3959561122122,-35.2539296976454,4.4,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,17.7932721272128,0.147507602884269
